,Descriptor,Location Type,Cluster Labels,Segment
279,Noise,Residential Building/House,5,6
282,Noise,Street/Sidewalk,6,7
283,Other,Park,0,1
284,Other,Street/Sidewalk,1,2
285,Noise,Residential Building/House,5,6
286,Traffic,Street/Sidewalk,1,2
287,Traffic,Street/Sidewalk,1,2
288,Traffic,Residential Building/House,0,1
290,Traffic,Street/Sidewalk,1,2
291,Traffic,Residential Building/House,0,1
292,Traffic,Residential Building/House,0,1
294,Traffic,Residential Building/House,0,1
295,Traffic,Street/Sidewalk,1,2
296,Traffic,Street/Sidewalk,1,2
297,Noise,Residential Building/House,5,6
298,Noise,Residential Building/House,5,6
299,Trash/Pollution,Street/Sidewalk,2,3
302,Noise,Store/Commercial,3,4
303,Noise,Street/Sidewalk,6,7
304,Noise,Street/Sidewalk,6,7
305,Noise,Street/Sidewalk,6,7
306,Noise,Residential Building/House,5,6
307,Noise,Street/Sidewalk,6,7
308,Noise,Street/Sidewalk,6,7
309,Noise,Residential Building/House,5,6
310,Noise,Street/Sidewalk,6,7
311,Traffic,Street/Sidewalk,1,2
312,Traffic,Street/Sidewalk,1,2
313,Traffic,Residential Building/House,0,1
314,Other,Street/Sidewalk,1,2
315,Other,Street/Sidewalk,1,2
316,Traffic,Street/Sidewalk,1,2
317,Traffic,Street/Sidewalk,1,2
318,Traffic,Street/Sidewalk,1,2
319,Noise,Street/Sidewalk,6,7
320,Traffic,Street/Sidewalk,1,2
321,Noise,Store/Commercial,3,4
322,Personal Issue,Street/Sidewalk,1,2
323,House,Street/Sidewalk,0,1
324,Noise,Street/Sidewalk,6,7
325,Noise,Residential Building/House,5,6
326,Traffic,Street/Sidewalk,1,2
327,Noise,Residential Building/House,5,6
328,Traffic,Street/Sidewalk,1,2
329,Noise,Store/Commercial,3,4
330,Traffic,Residential Building/House,0,1
331,Noise,Residential Building/House,5,6
332,Other,Store/Commercial,3,4
334,Noise,Street/Sidewalk,6,7
335,Animals,Park,4,5
336,Noise,Street/Sidewalk,6,7
337,Traffic,Street/Sidewalk,1,2
338,Noise,Residential Building/House,5,6
339,Noise,Street/Sidewalk,6,7
340,Traffic,Street/Sidewalk,1,2
341,Noise,Street/Sidewalk,6,7
342,Noise,Street/Sidewalk,6,7
343,Noise,Street/Sidewalk,6,7
344,Noise,Street/Sidewalk,6,7
345,Traffic,Street/Sidewalk,1,2
346,Traffic,Street/Sidewalk,1,2
347,Noise,Store/Commercial,3,4
349,House,Residential Building/House,0,1
350,Personal Issue,Street/Sidewalk,1,2
351,Noise,Residential Building/House,5,6
352,Noise,Residential Building/House,5,6
353,Safety,Street/Sidewalk,7,8
354,Noise,Residential Building/House,5,6
355,Noise,Residential Building/House,5,6
356,Traffic,Street/Sidewalk,1,2
357,Traffic,Street/Sidewalk,1,2
358,Noise,Residential Building/House,5,6
359,Traffic,Street/Sidewalk,1,2
360,Safety,Street/Sidewalk,7,8
361,Traffic,Residential Building/House,0,1
362,Noise,Residential Building/House,5,6
363,Noise,Residential Building/House,5,6
364,Noise,Store/Commercial,3,4
365,Traffic,Residential Building/House,0,1
366,Noise,Street/Sidewalk,6,7
367,Noise,Store/Commercial,3,4
368,Noise,Residential Building/House,5,6
369,Noise,Store/Commercial,3,4
370,Traffic,Street/Sidewalk,1,2
371,Noise,Residential Building/House,5,6
372,House,Street/Sidewalk,0,1
374,Traffic,Street/Sidewalk,1,2
375,Other,Street/Sidewalk,1,2
376,House,Street/Sidewalk,0,1
377,Noise,Street/Sidewalk,6,7
378,Traffic,Street/Sidewalk,1,2
379,Safety,Street/Sidewalk,7,8
380,Noise,Store/Commercial,3,4
381,Safety,Street/Sidewalk,7,8
384,Traffic,Street/Sidewalk,1,2
385,Noise,Store/Commercial,3,4
386,Noise,Street/Sidewalk,6,7
387,Traffic,Street/Sidewalk,1,2
388,Noise,Street/Sidewalk,6,7
389,Traffic,Street/Sidewalk,1,2
390,Safety,Street/Sidewalk,7,8
392,Traffic,Street/Sidewalk,1,2
393,Noise,Residential Building/House,5,6
394,Energy,Street/Sidewalk,1,2
395,Noise,Street/Sidewalk,6,7
396,Noise,Store/Commercial,3,4
397,Traffic,Residential Building/House,0,1
398,Traffic,Street/Sidewalk,1,2
399,Noise,Street/Sidewalk,6,7
400,Noise,Street/Sidewalk,6,7
401,Noise,Street/Sidewalk,6,7
402,Noise,Store/Commercial,3,4
403,Traffic,Street/Sidewalk,1,2
404,House,Street/Sidewalk,0,1
406,Noise,Residential Building/House,5,6
407,Noise,Street/Sidewalk,6,7
408,Noise,Residential Building/House,5,6
409,Noise,Street/Sidewalk,6,7
410,Noise,Residential Building/House,5,6
411,Noise,Store/Commercial,3,4
412,Noise,Street/Sidewalk,6,7
413,Noise,Street/Sidewalk,6,7
414,Noise,Store/Commercial,3,4
415,Noise,Store/Commercial,3,4
416,Noise,Store/Commercial,3,4
417,Noise,Store/Commercial,3,4
418,Noise,Store/Commercial,3,4
419,Other,Street/Sidewalk,1,2
420,Noise,Store/Commercial,3,4
421,Noise,Store/Commercial,3,4
422,Noise,Street/Sidewalk,6,7
423,Traffic,Street/Sidewalk,1,2
424,Noise,Street/Sidewalk,6,7
425,Noise,Street/Sidewalk,6,7
426,Noise,Street/Sidewalk,6,7
427,Noise,Residential Building/House,5,6
428,Traffic,Street/Sidewalk,1,2
429,Traffic,Street/Sidewalk,1,2
430,Traffic,Residential Building/House,0,1
431,Traffic,Street/Sidewalk,1,2
432,Traffic,Street/Sidewalk,1,2
434,Noise,Street/Sidewalk,6,7
435,Traffic,Residential Building/House,0,1
436,Noise,Residential Building/House,5,6
437,Noise,Street/Sidewalk,6,7
438,Traffic,Street/Sidewalk,1,2
439,Noise,Residential Building/House,5,6
440,Noise,Residential Building/House,5,6
441,Traffic,Street/Sidewalk,1,2
442,Noise,Store/Commercial,3,4
443,Traffic,Residential Building/House,0,1
444,Noise,Street/Sidewalk,6,7
445,Noise,Street/Sidewalk,6,7
446,Noise,Street/Sidewalk,6,7
447,Traffic,Street/Sidewalk,1,2
448,Traffic,Street/Sidewalk,1,2
449,Traffic,Street/Sidewalk,1,2
450,Traffic,Street/Sidewalk,1,2
451,Safety,Street/Sidewalk,7,8
452,Traffic,Street/Sidewalk,1,2
453,Traffic,Street/Sidewalk,1,2
454,Traffic,Street/Sidewalk,1,2
456,Traffic,Street/Sidewalk,1,2
457,Traffic,Street/Sidewalk,1,2
458,Noise,Street/Sidewalk,6,7
459,Noise,Street/Sidewalk,6,7
460,Noise,Street/Sidewalk,6,7
461,Noise,Street/Sidewalk,6,7
462,Noise,Street/Sidewalk,6,7
463,Noise,Street/Sidewalk,6,7
464,Traffic,Street/Sidewalk,1,2
465,Traffic,Street/Sidewalk,1,2
466,Other,Residential Building/House,0,1
467,Noise,Residential Building/House,5,6
468,Noise,Store/Commercial,3,4
469,Noise,Residential Building/House,5,6
470,Noise,Store/Commercial,3,4
471,Noise,Street/Sidewalk,6,7
472,Noise,Street/Sidewalk,6,7
473,Traffic,Street/Sidewalk,1,2
474,Traffic,Street/Sidewalk,1,2
475,Noise,Street/Sidewalk,6,7
476,Noise,Store/Commercial,3,4
477,Noise,Street/Sidewalk,6,7
478,Noise,Street/Sidewalk,6,7
479,Noise,Street/Sidewalk,6,7
480,Noise,Street/Sidewalk,6,7
481,Noise,Street/Sidewalk,6,7
482,Noise,Street/Sidewalk,6,7
483,Noise,Street/Sidewalk,6,7
484,Noise,Residential Building/House,5,6
485,Noise,Street/Sidewalk,6,7
486,Noise,Street/Sidewalk,6,7
487,Noise,Street/Sidewalk,6,7
488,Noise,Residential Building/House,5,6
490,Noise,Street/Sidewalk,6,7
491,Safety,Street/Sidewalk,7,8
492,Noise,Store/Commercial,3,4
493,House,Street/Sidewalk,0,1
494,Noise,Street/Sidewalk,6,7
495,Noise,Residential Building/House,5,6
496,Noise,Street/Sidewalk,6,7
497,Noise,Store/Commercial,3,4
499,Noise,Store/Commercial,3,4
500,Noise,Street/Sidewalk,6,7
501,Noise,Store/Commercial,3,4
502,Noise,Street/Sidewalk,6,7
503,Other,Street/Sidewalk,1,2
504,Noise,Street/Sidewalk,6,7
505,Traffic,Street/Sidewalk,1,2
506,Traffic,Street/Sidewalk,1,2
507,Noise,Street/Sidewalk,6,7
508,Noise,Street/Sidewalk,6,7
509,Traffic,Street/Sidewalk,1,2
510,Traffic,Street/Sidewalk,1,2
511,Noise,Residential Building/House,5,6
512,Noise,Street/Sidewalk,6,7
513,Noise,Street/Sidewalk,6,7
514,Traffic,Residential Building/House,0,1
515,Traffic,Residential Building/House,0,1
516,Noise,Street/Sidewalk,6,7
517,Noise,Store/Commercial,3,4
518,Noise,Residential Building/House,5,6
519,Noise,Store/Commercial,3,4
520,Noise,Residential Building/House,5,6
521,Traffic,Residential Building/House,0,1
522,Noise,Store/Commercial,3,4
523,Noise,Store/Commercial,3,4
524,Noise,Store/Commercial,3,4
525,Traffic,Street/Sidewalk,1,2
526,Noise,Residential Building/House,5,6
527,Noise,Residential Building/House,5,6
528,Traffic,Residential Building/House,0,1
529,Energy,Street/Sidewalk,1,2
530,Noise,Street/Sidewalk,6,7
531,Noise,Street/Sidewalk,6,7
532,Noise,Street/Sidewalk,6,7
533,Noise,Street/Sidewalk,6,7
534,Noise,Street/Sidewalk,6,7
535,Noise,Street/Sidewalk,6,7
536,Noise,Street/Sidewalk,6,7
537,Noise,Street/Sidewalk,6,7
538,Noise,Street/Sidewalk,6,7
539,Noise,Street/Sidewalk,6,7
540,Noise,Street/Sidewalk,6,7
541,Noise,Store/Commercial,3,4
542,Noise,Street/Sidewalk,6,7
543,Noise,Street/Sidewalk,6,7
544,Noise,Store/Commercial,3,4
545,Noise,Residential Building/House,5,6
546,Noise,Street/Sidewalk,6,7
547,Noise,Street/Sidewalk,6,7
548,Safety,Street/Sidewalk,7,8
549,Noise,Street/Sidewalk,6,7
550,Energy,Street/Sidewalk,1,2
551,Noise,Street/Sidewalk,6,7
552,Noise,Street/Sidewalk,6,7
553,Traffic,Residential Building/House,0,1
554,Noise,Street/Sidewalk,6,7
555,Noise,Street/Sidewalk,6,7
556,Noise,Street/Sidewalk,6,7
557,Noise,Store/Commercial,3,4
558,Traffic,Residential Building/House,0,1
559,Noise,Street/Sidewalk,6,7
560,Noise,Street/Sidewalk,6,7
561,Noise,Street/Sidewalk,6,7
579,Noise,Street/Sidewalk,6,7
580,Traffic,Residential Building/House,0,1
581,Noise,Street/Sidewalk,6,7
582,Safety,Residential Building/House,0,1
583,Traffic,Residential Building/House,0,1
584,Noise,Street/Sidewalk,6,7
585,Noise,Store/Commercial,3,4
586,Noise,Store/Commercial,3,4
587,Noise,Street/Sidewalk,6,7
588,Noise,Street/Sidewalk,6,7
589,Traffic,Street/Sidewalk,1,2
590,Traffic,Residential Building/House,0,1
591,Traffic,Residential Building/House,0,1
592,Noise,Residential Building/House,5,6
593,Noise,Street/Sidewalk,6,7
594,Noise,Street/Sidewalk,6,7
595,Noise,Street/Sidewalk,6,7
596,Noise,Street/Sidewalk,6,7
597,Noise,Street/Sidewalk,6,7
598,Noise,Street/Sidewalk,6,7
599,Noise,Street/Sidewalk,6,7
600,Noise,Store/Commercial,3,4
601,Traffic,Street/Sidewalk,1,2
602,Noise,Street/Sidewalk,6,7
603,Noise,Store/Commercial,3,4
604,Noise,Street/Sidewalk,6,7
605,Noise,Street/Sidewalk,6,7
606,Noise,Store/Commercial,3,4
607,Noise,Residential Building/House,5,6
608,Noise,Street/Sidewalk,6,7
609,Noise,Residential Building/House,5,6
610,Noise,Street/Sidewalk,6,7
611,Noise,Street/Sidewalk,6,7
612,Noise,Street/Sidewalk,6,7
613,Traffic,Store/Commercial,1,2
614,Noise,Street/Sidewalk,6,7
615,Noise,Street/Sidewalk,6,7
616,Noise,Store/Commercial,3,4
617,Noise,Store/Commercial,3,4
618,Noise,Street/Sidewalk,6,7
619,Noise,Street/Sidewalk,6,7
620,Noise,Street/Sidewalk,6,7
621,Noise,Street/Sidewalk,6,7
622,Noise,Street/Sidewalk,6,7
623,Noise,Store/Commercial,3,4
624,Traffic,Residential Building/House,0,1
625,Noise,Street/Sidewalk,6,7
626,Noise,Store/Commercial,3,4
628,Noise,Street/Sidewalk,6,7
629,Traffic,Street/Sidewalk,1,2
630,Noise,Street/Sidewalk,6,7
631,Traffic,Residential Building/House,0,1
632,Noise,Residential Building/House,5,6
633,Traffic,Street/Sidewalk,1,2
634,Traffic,Store/Commercial,1,2
635,Noise,Street/Sidewalk,6,7
636,Noise,Residential Building/House,5,6
638,Noise,Street/Sidewalk,6,7
639,Noise,Street/Sidewalk,6,7
640,Noise,Residential Building/House,5,6
641,Noise,Street/Sidewalk,6,7
642,Noise,Street/Sidewalk,6,7
643,Noise,Street/Sidewalk,6,7
644,Noise,Street/Sidewalk,6,7
645,Noise,Street/Sidewalk,6,7
646,Noise,Store/Commercial,3,4
647,Noise,Street/Sidewalk,6,7
648,Noise,Street/Sidewalk,6,7
650,Noise,Street/Sidewalk,6,7
651,Traffic,Residential Building/House,0,1
652,Noise,Residential Building/House,5,6
653,Noise,Street/Sidewalk,6,7
654,Noise,Store/Commercial,3,4
655,Noise,Street/Sidewalk,6,7
656,Noise,Street/Sidewalk,6,7
657,Noise,Store/Commercial,3,4
658,Noise,Store/Commercial,3,4
659,Noise,Store/Commercial,3,4
660,Noise,Residential Building/House,5,6
661,Noise,Store/Commercial,3,4
662,Noise,Residential Building/House,5,6
663,Noise,Street/Sidewalk,6,7
664,Noise,Store/Commercial,3,4
665,Noise,Street/Sidewalk,6,7
666,Noise,Street/Sidewalk,6,7
667,Noise,Residential Building/House,5,6
669,Noise,Street/Sidewalk,6,7
671,Noise,Street/Sidewalk,6,7
672,Noise,Street/Sidewalk,6,7
673,Noise,Street/Sidewalk,6,7
674,Noise,Residential Building/House,5,6
675,Noise,Store/Commercial,3,4
676,Traffic,Residential Building/House,0,1
678,Noise,Residential Building/House,5,6
679,Noise,Street/Sidewalk,6,7
680,Noise,Street/Sidewalk,6,7
682,Noise,Street/Sidewalk,6,7
683,Noise,Street/Sidewalk,6,7
684,Noise,Street/Sidewalk,6,7
685,Noise,Street/Sidewalk,6,7
686,Noise,Residential Building/House,5,6
687,Traffic,Residential Building/House,0,1
688,Noise,Street/Sidewalk,6,7
689,Noise,Street/Sidewalk,6,7
690,Noise,Street/Sidewalk,6,7
691,Noise,Residential Building/House,5,6
692,Noise,Street/Sidewalk,6,7
693,Noise,Residential Building/House,5,6
694,Noise,Store/Commercial,3,4
695,Noise,Street/Sidewalk,6,7
696,Noise,Store/Commercial,3,4
697,Noise,Residential Building/House,5,6
698,Traffic,Residential Building/House,0,1
700,Noise,Residential Building/House,5,6
701,Safety,Street/Sidewalk,7,8
703,Noise,Residential Building/House,5,6
704,Noise,Residential Building/House,5,6
705,Noise,Residential Building/House,5,6
706,Noise,Residential Building/House,5,6
707,Noise,Residential Building/House,5,6
708,Noise,Residential Building/House,5,6
709,Traffic,Residential Building/House,0,1
710,Traffic,Street/Sidewalk,1,2
726,Noise,Residential Building/House,5,6
727,Noise,Residential Building/House,5,6
728,Noise,Residential Building/House,5,6
730,Noise,Street/Sidewalk,6,7
731,Noise,Street/Sidewalk,6,7
734,Noise,Residential Building/House,5,6
735,Noise,Street/Sidewalk,6,7
736,Noise,Street/Sidewalk,6,7
737,Noise,Street/Sidewalk,6,7
738,Noise,Street/Sidewalk,6,7
739,Noise,Residential Building/House,5,6
741,Traffic,Residential Building/House,0,1
742,Commercial,Street/Sidewalk,1,2
743,Traffic,Street/Sidewalk,1,2
746,Commercial,Street/Sidewalk,1,2
747,Commercial,Street/Sidewalk,1,2
748,Noise,Residential Building/House,5,6
750,Traffic,Street/Sidewalk,1,2
751,Traffic,Residential Building/House,0,1
752,Noise,Residential Building/House,5,6
753,Traffic,Street/Sidewalk,1,2
755,Safety,Street/Sidewalk,7,8
756,Traffic,Residential Building/House,0,1
757,Traffic,Residential Building/House,0,1
758,Traffic,Residential Building/House,0,1
759,Traffic,Street/Sidewalk,1,2
760,Other,Street/Sidewalk,1,2
762,Personal Issue,Taxi,0,1
764,Other,Taxi,0,1
765,Noise,Residential Building/House,5,6
767,Other,Store/Commercial,3,4
768,Traffic,Residential Building/House,0,1
769,Animals,Residential Building/House,4,5
770,Animals,Residential Building/House,4,5
771,Animals,Residential Building/House,4,5
772,Safety,Street/Sidewalk,7,8
773,Traffic,Residential Building/House,0,1
774,Traffic,Street/Sidewalk,1,2
775,Traffic,Street/Sidewalk,1,2
776,Traffic,Street/Sidewalk,1,2
778,Personal Issue,Taxi,0,1
779,Traffic,Street/Sidewalk,1,2
782,Commercial,Taxi,0,1
786,Animals,Park,4,5
787,Traffic,Street/Sidewalk,1,2
790,Other,Park,0,1
793,Traffic,Street/Sidewalk,1,2
794,Commercial,Taxi,0,1
795,Other,Store/Commercial,3,4
796,Commercial,Store/Commercial,3,4
797,Commercial,Store/Commercial,3,4
798,House,Residential Building/House,0,1
800,Traffic,Street/Sidewalk,1,2
801,Traffic,Street/Sidewalk,1,2
802,Traffic,Street/Sidewalk,1,2
803,Traffic,Street/Sidewalk,1,2
804,Traffic,Street/Sidewalk,1,2
805,Noise,Street/Sidewalk,6,7
806,Traffic,Street/Sidewalk,1,2
807,Commercial,Taxi,0,1
808,Commercial,Store/Commercial,3,4
809,Commercial,Store/Commercial,3,4
810,Commercial,Store/Commercial,3,4
811,Traffic,Street/Sidewalk,1,2
812,Traffic,Street/Sidewalk,1,2
814,Traffic,Street/Sidewalk,1,2
816,Traffic,Residential Building/House,0,1
817,Traffic,Street/Sidewalk,1,2
818,Traffic,Street/Sidewalk,1,2
819,Commercial,Taxi,0,1
820,Traffic,Street/Sidewalk,1,2
821,Traffic,Street/Sidewalk,1,2
822,Traffic,Street/Sidewalk,1,2
823,Commercial,Store/Commercial,3,4
824,Commercial,Store/Commercial,3,4
825,Traffic,Street/Sidewalk,1,2
826,Traffic,Street/Sidewalk,1,2
827,Traffic,Street/Sidewalk,1,2
828,Traffic,Residential Building/House,0,1
